"Model","battery_mah","ram","storage","lunch_year","used_month","battery_health","price"
"iPhone SE (1st gen)","1624","2","16","2016","116","52","1425"
"iPhone 15 Pro Max","4422","8","256","2023","26","55","66177"
"iPhone 15 Plus","4395","6","128","2023","26","81","74219"
"iPhone 13 Pro Max","4352","6","128","2021","50","61","38435"
"iPhone 8","1821","2","64","2017","98","85","11418"
"iPhone 12 Pro","2815","6","128","2020","61","56","30477"
"iPhone 11","3110","4","64","2019","74","91","24083"
"iPhone 13","3227","4","128","2021","50","54","29419"
"iPhone 13 mini","2438","4","128","2021","50","79","42698"
"iPhone 11 Pro Max","3969","4","64","2019","74","100","25891"
"iPhone 14 Pro","3200","6","128","2022","38","82","67184"
"iPhone 11 Pro","3046","4","64","2019","74","86","44515"
"iPhone 15 Pro Max","4422","8","256","2023","26","87","111155"
"iPhone 16","3561","8","128","2024","14","61","51749"
"iPhone 5s","1560","1","16","2013","146","91","4249"
"iPhone 16 Plus","4674","8","128","2024","14","94","95260"
"iPhone 14 Pro","3200","6","128","2022","38","58","44654"
"iPhone 16 Pro","3582","8","128","2024","14","72","92571"
"iPhone 7","1960","2","32","2016","110","76","3978"
"iPhone 8","1821","2","64","2017","98","90","13647"
"iPhone 14 Pro","3200","6","128","2022","38","77","58502"
"iPhone SE (1st gen)","1624","2","16","2016","116","85","2368"
"iPhone SE (1st gen)","1624","2","16","2016","116","65","1769"
"iPhone 11","3110","4","64","2019","74","99","23579"
"iPhone 12 mini","2227","4","64","2020","60","93","39929"
"iPhone 8","1821","2","64","2017","98","77","3508"
"iPhone 12","2815","4","64","2020","61","75","35257"
"iPhone 12 mini","2227","4","64","2020","60","62","20871"
"iPhone 15","3349","6","128","2023","26","91","72740"
"iPhone 14 Pro Max","4323","6","128","2022","38","98","88828"
"iPhone XR","2942","3","64","2018","86","97","9026"
"iPhone 13 Pro","3095","6","128","2021","50","100","71317"
"iPhone SE (1st gen)","1624","2","16","2016","116","63","1644"
"iPhone 16 Pro","3582","8","128","2024","14","61","65243"
"iPhone 5s","1560","1","16","2013","146","93","4062"
"iPhone XR","2942","3","64","2018","86","77","4111"
"iPhone XS Max","3174","4","64","2018","86","90","29828"
"iPhone 14","3279","6","128","2022","38","68","39248"
"iPhone 6s Plus","2750","2","16","2015","122","53","2622"
"iPhone X","2716","3","64","2017","96","60","5080"
"iPhone XS Max","3174","4","64","2018","86","94","7400"
"iPhone 6s Plus","2750","2","16","2015","122","53","3065"
"iPhone XS Max","3174","4","64","2018","86","59","19253"
"iPhone 6","1810","1","16","2014","134","59","2623"
"iPhone 14 Pro","3200","6","128","2022","38","65","55724"
"iPhone 15","3349","6","128","2023","26","58","43906"
"iPhone 15 Pro Max","4422","8","256","2023","26","53","66433"
"iPhone 15 Pro","3343","8","128","2023","26","58","61593"
"iPhone 16 Pro Max","4685","8","256","2024","14","54","84696"
"iPhone 16 Plus","4674","8","128","2024","14","63","65618"
"iPhone 16 Pro","3582","8","128","2024","14","79","94321"
"iPhone 12","2815","4","64","2020","61","62","23099"
"iPhone 12","2815","4","64","2020","61","97","55433"
"iPhone 16 Plus","4674","8","128","2024","14","100","98875"
"iPhone 12 Pro Max","3687","6","128","2020","60","94","59565"
"iPhone 15 Pro Max","4422","8","256","2023","26","86","101649"
"iPhone 5","1440","1","16","2012","158","84","3506"
"iPhone 7","1960","2","32","2016","110","64","2778"
"iPhone 11 Pro Max","3969","4","64","2019","74","81","42250"
"iPhone 11","3110","4","64","2019","74","76","10422"
"iPhone 14","3279","6","128","2022","38","92","57633"
"iPhone 11","3110","4","64","2019","74","59","11734"
"iPhone SE (1st gen)","1624","2","16","2016","116","54","1549"
"iPhone 13 mini","2438","4","128","2021","50","80","39831"
"iPhone 5s","1560","1","16","2013","146","95","3840"
"iPhone 16","3561","8","128","2024","14","95","82684"
"iPhone XS Max","3174","4","64","2018","86","94","8038"
"iPhone 5c","1507","1","8","2013","146","59","2297"
"iPhone XS Max","3174","4","64","2018","86","64","26395"
"iPhone 14 Pro Max","4323","6","128","2022","38","62","57845"
"iPhone XS","2658","4","64","2018","86","62","13952"
"iPhone 6 Plus","2915","1","16","2014","134","99","4861"
"iPhone 15 Pro Max","4422","8","256","2023","26","67","70840"
"iPhone 16 Pro","3582","8","128","2024","14","99","114118"
"iPhone 12","2815","4","64","2020","61","72","41375"
"iPhone X","2716","3","64","2017","96","63","18742"
"iPhone 15 Pro Max","4422","8","256","2023","26","85","99704"
"iPhone 14","3279","6","128","2022","38","54","37239"
"iPhone SE (1st gen)","1624","2","16","2016","116","86","2274"
"iPhone 13 Pro","3095","6","128","2021","50","85","66377"
"iPhone 13","3227","4","128","2021","50","84","44794"
"iPhone 16","3561","8","128","2024","14","92","90059"
"iPhone 16 Pro Max","4685","8","256","2024","14","83","111799"
"iPhone 14 Pro Max","4323","6","128","2022","38","90","86155"
"iPhone 11 Pro Max","3969","4","64","2019","74","76","36722"
"iPhone XS Max","3174","4","64","2018","86","84","25586"
"iPhone XS Max","3174","4","64","2018","86","100","9538"
"iPhone 16 Plus","4674","8","128","2024","14","60","62188"
"iPhone 5","1440","1","16","2012","158","95","4582"
"iPhone XS","2658","4","64","2018","86","59","10623"
"iPhone XS Max","3174","4","64","2018","86","96","33894"
"iPhone 15 Pro","3343","8","128","2023","26","100","102765"
"iPhone 15 Plus","4395","6","128","2023","26","72","64814"
"iPhone 14 Pro Max","4323","6","128","2022","38","73","62630"
"iPhone 15 Pro","3343","8","128","2023","26","75","76314"
"iPhone XS Max","3174","4","64","2018","86","64","11410"
"iPhone XS","2658","4","64","2018","86","70","19999"
"iPhone 12 Pro","2815","6","128","2020","61","78","46563"
"iPhone 16 Pro","3582","8","128","2024","14","98","107961"
"iPhone 14 Pro Max","4323","6","128","2022","38","51","46460"
"iPhone 13 Pro Max","4352","6","128","2021","50","77","57045"
"iPhone 15","3349","6","128","2023","26","61","50594"
"iPhone 13 Pro","3095","6","128","2021","50","87","56869"
"iPhone 15 Pro Max","4422","8","256","2023","26","52","56745"
"iPhone 14","3279","6","128","2022","38","57","41257"
"iPhone XR","2942","3","64","2018","86","73","3547"
"iPhone 13 Pro Max","4352","6","128","2021","50","63","52694"
"iPhone 12 Pro Max","3687","6","128","2020","60","62","25188"
"iPhone 5c","1507","1","8","2013","146","98","3361"
"iPhone 7","1960","2","32","2016","110","74","3133"
"iPhone 11","3110","4","64","2019","74","89","19855"
"iPhone SE (1st gen)","1624","2","16","2016","116","89","2379"
"iPhone 12 mini","2227","4","64","2020","60","79","35996"
"iPhone X","2716","3","64","2017","96","54","3532"
"iPhone 12 mini","2227","4","64","2020","60","93","46095"
"iPhone 5s","1560","1","16","2013","146","68","2987"
"iPhone 12 Pro","2815","6","128","2020","61","51","26723"
"iPhone 13 mini","2438","4","128","2021","50","82","37512"
"iPhone 15 Pro","3343","8","128","2023","26","99","94478"
"iPhone 14 Pro Max","4323","6","128","2022","38","74","67697"
"iPhone XS Max","3174","4","64","2018","86","92","6331"
"iPhone 14 Pro","3200","6","128","2022","38","79","70276"
"iPhone 12","2815","4","64","2020","61","60","20193"
"iPhone 16 Pro Max","4685","8","256","2024","14","86","129500"
"iPhone 6s","1715","2","16","2015","122","63","2629"
"iPhone 14 Pro Max","4323","6","128","2022","38","83","67709"
"iPhone XS","2658","4","64","2018","86","71","8507"
"iPhone 16","3561","8","128","2024","14","77","68822"
"iPhone 14 Pro","3200","6","128","2022","38","64","53908"
"iPhone SE (1st gen)","1624","2","16","2016","116","88","2383"
"iPhone 14 Pro Max","4323","6","128","2022","38","64","58036"
"iPhone 6s Plus","2750","2","16","2015","122","92","4466"
"iPhone 15 Pro Max","4422","8","256","2023","26","57","66396"
"iPhone 7","1960","2","32","2016","110","82","3462"
"iPhone 11 Pro Max","3969","4","64","2019","74","74","34590"
"iPhone 14 Pro Max","4323","6","128","2022","38","56","50400"
"iPhone 6","1810","1","16","2014","134","58","2481"
"iPhone XS Max","3174","4","64","2018","86","56","9931"
"iPhone XS","2658","4","64","2018","86","89","5824"
"iPhone 16 Pro","3582","8","128","2024","14","100","116301"
"iPhone 6s Plus","2750","2","16","2015","122","98","4980"
"iPhone 8","1821","2","64","2017","98","62","7788"
"iPhone 16 Pro Max","4685","8","256","2024","14","74","96559"
"iPhone 14 Pro","3200","6","128","2022","38","54","48613"
"iPhone 16 Pro","3582","8","128","2024","14","84","103970"
"iPhone 7 Plus","2900","3","32","2016","110","96","5612"
"iPhone 12 mini","2227","4","64","2020","60","80","24849"
"iPhone 14 Pro","3200","6","128","2022","38","85","66812"
"iPhone 15","3349","6","128","2023","26","72","58496"
"iPhone 16 Pro Max","4685","8","256","2024","14","63","86975"
"iPhone 16 Plus","4674","8","128","2024","14","80","82898"
"iPhone 16 Plus","4674","8","128","2024","14","52","58296"
"iPhone 11 Pro","3046","4","64","2019","74","60","18551"
"iPhone 6s","1715","2","16","2015","122","74","3041"
"iPhone 8","1821","2","64","2017","98","67","6252"
"iPhone 16","3561","8","128","2024","14","52","44459"
"iPhone 13 Pro","3095","6","128","2021","50","94","81894"
"iPhone 14 Pro","3200","6","128","2022","38","71","62245"
"iPhone 14 Plus","4325","6","128","2022","37","88","70157"
"iPhone 14 Plus","4325","6","128","2022","37","94","81465"
"iPhone XS Max","3174","4","64","2018","86","86","34876"
"iPhone XS","2658","4","64","2018","86","100","20234"
"iPhone 7 Plus","2900","3","32","2016","110","75","3907"
"iPhone 14 Pro Max","4323","6","128","2022","38","99","87534"
"iPhone 16 Pro Max","4685","8","256","2024","14","76","105216"
"iPhone 13 Pro Max","4352","6","128","2021","50","67","51782"
"iPhone 12 mini","2227","4","64","2020","60","92","34704"
"iPhone 14 Plus","4325","6","128","2022","37","77","58676"
"iPhone 14 Pro","3200","6","128","2022","38","97","73965"
"iPhone 13","3227","4","128","2021","50","62","41810"
"iPhone 13","3227","4","128","2021","50","70","37278"
"iPhone 15","3349","6","128","2023","26","99","70461"
"iPhone 6s Plus","2750","2","16","2015","122","94","4760"
"iPhone 7 Plus","2900","3","32","2016","110","71","3772"
"iPhone 11","3110","4","64","2019","74","67","15464"
